#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2022 08 22 04 00 00 1 5658.546
2022 08 22 03 45 00 1 5658.564
2022 08 22 03 30 00 1 5658.588
2022 08 22 03 15 00 1 5658.614
2022 08 22 03 00 00 1 9999.000
2022 08 22 02 59 00 2 5658.645
2022 08 22 02 58 00 2 5658.647
2022 08 22 02 57 00 2 5658.649
2022 08 22 02 56 00 2 5658.652
2022 08 22 02 55 00 2 5658.654
2022 08 22 02 54 00 2 5658.657
2022 08 22 02 53 00 2 5658.659
2022 08 22 02 52 00 2 5658.662
2022 08 22 02 51 00 2 5658.664
2022 08 22 02 50 00 2 5658.667
2022 08 22 02 49 00 2 5658.669
2022 08 22 02 48 00 2 5658.671
2022 08 22 02 47 00 2 5658.674
2022 08 22 02 46 00 2 5658.676
2022 08 22 02 45 00 2 5658.678
2022 08 22 02 45 00 1 9999.000
2022 08 22 02 44 00 2 5658.681
2022 08 22 02 43 00 2 5658.683
2022 08 22 02 42 00 2 5658.685
2022 08 22 02 41 00 2 5658.688
2022 08 22 02 40 00 2 5658.690
2022 08 22 02 39 00 2 5658.693
2022 08 22 02 38 00 2 5658.695
2022 08 22 02 37 00 2 5658.697
2022 08 22 02 36 00 2 5658.699
2022 08 22 02 35 00 2 5658.701
2022 08 22 02 34 00 2 5658.704
2022 08 22 02 33 00 2 5658.706
2022 08 22 02 32 00 2 5658.708
2022 08 22 02 31 00 2 5658.710
2022 08 22 02 30 00 2 5658.713
2022 08 22 02 30 00 1 9999.000
2022 08 22 02 29 00 2 5658.714
2022 08 22 02 28 00 2 5658.714
2022 08 22 02 27 00 2 5658.713
2022 08 22 02 26 00 2 5658.709
2022 08 22 02 25 00 2 5658.712
2022 08 22 02 24 00 2 5658.720
2022 08 22 02 23 00 2 5658.725
2022 08 22 02 22 00 2 5658.726
2022 08 22 02 21 00 2 5658.726
2022 08 22 02 20 00 2 5658.725
2022 08 22 02 19 00 2 5658.720
2022 08 22 02 18 00 2 5658.702
2022 08 22 02 17 00 2 5658.713
2022 08 22 02 16 00 2 5658.716
2022 08 22 02 15 00 2 5658.718
2022 08 22 02 15 00 1 9999.000
2022 08 22 02 14 00 2 5658.721
2022 08 22 02 13 00 2 5658.724
2022 08 22 02 12 00 2 5658.726
2022 08 22 02 11 00 2 5658.725
2022 08 22 02 10 00 2 5658.722
2022 08 22 02 09 00 2 5658.723
2022 08 22 02 08 00 2 5658.731
2022 08 22 02 07 00 2 5658.739
2022 08 22 02 06 00 2 5658.739
2022 08 22 02 05 00 2 5658.740
2022 08 22 02 04 00 2 5658.748
2022 08 22 02 03 00 2 5658.748
2022 08 22 02 02 00 2 5658.750
2022 08 22 02 01 00 2 5658.758
2022 08 22 02 00 00 2 5658.761
2022 08 22 02 00 00 1 9999.000
2022 08 22 01 59 15 2 5658.764
2022 08 22 01 59 00 2 5658.764
2022 08 22 01 58 15 2 5658.767
2022 08 22 01 58 00 2 5658.767
2022 08 22 01 57 15 2 5658.769
2022 08 22 01 57 00 2 5658.769
2022 08 22 01 56 15 2 5658.771
2022 08 22 01 56 00 2 5658.771
2022 08 22 01 55 15 2 5658.771
2022 08 22 01 55 00 2 5658.771
2022 08 22 01 54 15 2 5658.768
2022 08 22 01 54 00 2 5658.768
2022 08 22 01 53 15 2 5658.771
2022 08 22 01 53 00 2 5658.771
2022 08 22 01 52 15 2 5658.781
2022 08 22 01 52 00 2 5658.781
2022 08 22 01 51 15 2 5658.787
2022 08 22 01 51 00 2 5658.787
2022 08 22 01 50 15 2 5658.791
2022 08 22 01 50 00 2 5658.791
2022 08 22 01 49 15 2 5658.794
2022 08 22 01 49 00 2 5658.794
2022 08 22 01 48 15 2 5658.797
2022 08 22 01 48 00 2 5658.797
2022 08 22 01 47 15 2 5658.800
2022 08 22 01 47 00 2 5658.800
2022 08 22 01 46 15 2 5658.803
2022 08 22 01 46 00 2 5658.803
2022 08 22 01 45 15 2 5658.806
2022 08 22 01 45 00 2 5658.806
2022 08 22 01 45 00 1 9999.000
2022 08 22 01 44 15 2 5658.809
2022 08 22 01 44 00 2 5658.809
2022 08 22 01 43 15 2 5658.812
2022 08 22 01 43 00 2 5658.812
2022 08 22 01 42 15 2 5658.816
2022 08 22 01 42 00 2 5658.816
2022 08 22 01 41 15 2 5658.818
2022 08 22 01 41 00 2 5658.818
2022 08 22 01 40 15 2 5658.821
2022 08 22 01 40 00 2 5658.821
2022 08 22 01 39 15 2 5658.820
2022 08 22 01 39 00 2 5658.820
2022 08 22 01 38 15 2 5658.818
2022 08 22 01 38 00 2 5658.818
2022 08 22 01 37 15 2 5658.820
2022 08 22 01 37 00 2 5658.820
2022 08 22 01 36 15 2 5658.831
2022 08 22 01 36 00 2 5658.831
2022 08 22 01 35 15 2 5658.838
2022 08 22 01 35 00 2 5658.838
2022 08 22 01 34 15 2 5658.842
2022 08 22 01 34 00 2 5658.842
2022 08 22 01 33 15 2 5658.845
2022 08 22 01 33 00 2 5658.845
2022 08 22 01 32 15 2 5658.849
2022 08 22 01 32 00 2 5658.849
2022 08 22 01 31 15 2 5658.851
2022 08 22 01 31 00 2 5658.851
2022 08 22 01 30 15 2 5658.856
2022 08 22 01 30 00 2 5658.856
2022 08 22 01 30 00 1 9999.000
2022 08 22 01 29 15 2 5658.859
2022 08 22 01 29 00 2 5658.859
2022 08 22 01 28 15 2 5658.863
2022 08 22 01 28 00 2 5658.863
2022 08 22 01 27 15 2 5658.865
2022 08 22 01 27 00 2 5658.865
2022 08 22 01 26 15 2 5658.868
2022 08 22 01 26 00 2 5658.868
2022 08 22 01 25 15 2 5658.870
2022 08 22 01 25 00 2 5658.870
2022 08 22 01 24 15 2 5658.872
2022 08 22 01 24 00 2 5658.872
2022 08 22 01 23 15 2 5658.872
2022 08 22 01 23 00 2 5658.872
2022 08 22 01 22 15 2 5658.869
2022 08 22 01 22 00 2 5658.869
2022 08 22 01 21 15 2 5658.872
2022 08 22 01 21 00 2 5658.872
2022 08 22 01 20 15 2 5658.881
2022 08 22 01 20 00 2 5658.881
2022 08 22 01 19 15 2 5658.888
2022 08 22 01 19 00 2 5658.888
2022 08 22 01 18 15 2 5658.891
2022 08 22 01 18 00 2 5658.891
2022 08 22 01 17 15 2 5658.893
2022 08 22 01 17 00 2 5658.893
2022 08 22 01 16 15 2 5658.897
2022 08 22 01 16 00 2 5658.897
2022 08 22 01 15 15 2 5658.900
2022 08 22 01 15 00 2 5658.900
2022 08 22 01 15 00 1 9999.000
2022 08 22 01 14 15 2 5658.903
2022 08 22 01 14 00 2 5658.903
2022 08 22 01 13 15 2 5658.906
2022 08 22 01 13 00 2 5658.906
2022 08 22 01 12 15 2 5658.908
2022 08 22 01 12 00 2 5658.908
2022 08 22 01 11 15 2 5658.911
2022 08 22 01 11 00 2 5658.911
2022 08 22 01 10 15 2 5658.912
2022 08 22 01 10 00 2 5658.912
2022 08 22 01 09 15 2 5658.912
2022 08 22 01 09 00 2 5658.912
2022 08 22 01 08 15 2 5658.913
2022 08 22 01 08 00 2 5658.913
2022 08 22 01 07 15 2 5658.918
2022 08 22 01 07 00 2 5658.918
2022 08 22 01 06 15 2 5658.916
2022 08 22 01 06 00 2 5658.916
2022 08 22 01 05 15 2 5658.918
2022 08 22 01 05 00 2 5658.918
2022 08 22 01 04 15 2 5658.926
2022 08 22 01 04 00 2 5658.926
2022 08 22 01 03 15 2 5658.930
2022 08 22 01 03 00 2 5658.930
2022 08 22 01 02 15 2 5658.932
2022 08 22 01 02 00 2 5658.932
2022 08 22 01 01 15 2 5658.940
2022 08 22 01 01 00 2 5658.940
2022 08 22 01 00 15 2 5658.943
2022 08 22 01 00 00 2 5658.943
2022 08 22 01 00 00 1 9999.000
2022 08 22 00 59 15 2 5658.946
2022 08 22 00 59 00 2 5658.946
2022 08 22 00 58 15 2 5658.950
2022 08 22 00 58 00 2 5658.950
